"Clave de la
Entidad
Federativa",Entidad Federativa,"Clave del
Municipio",Municipio,"Atención
Especial"
15,MEXICO,060,NICOLAS ROMERO,1
15,MEXICO,061,NOPALTEPEC,1
15,MEXICO,062,OCOYOACAC,1
15,MEXICO,063,OCUILAN,1
15,MEXICO,064,EL ORO,1
15,MEXICO,065,OTUMBA,1
15,MEXICO,066,OTZOLOAPAN,1
15,MEXICO,067,OTZOLOTEPEC,1
15,MEXICO,068,OZUMBA,1
15,MEXICO,069,PAPALOTLA,1
15,MEXICO,070,LA PAZ,1
15,MEXICO,072,RAYON,1
15,MEXICO,073,SAN ANTONIO LA ISLA,1
15,MEXICO,074,SAN FELIPE DEL PROGRESO,1
15,MEXICO,075,SAN MARTIN DE LAS PIRAMIDES,1
15,MEXICO,076,SAN MATEO ATENCO,1
15,MEXICO,079,SOYANIQUILPAN DE JUAREZ,1
15,MEXICO,080,SULTEPEC,1
15,MEXICO,081,TECAMAC,1
15,MEXICO,082,TEJUPILCO,1
15,MEXICO,083,TEMAMATLA,1
15,MEXICO,084,TEMASCALAPA,1
15,MEXICO,085,TEMASCALCINGO,1
15,MEXICO,086,TEMASCALTEPEC,1
15,MEXICO,087,TEMOAYA,1
15,MEXICO,088,TENANCINGO,1
15,MEXICO,089,TENANGO DEL AIRE,1
15,MEXICO,090,TENANGO DEL VALLE,1
15,MEXICO,091,TEOLOYUCAN,1
15,MEXICO,092,TEOTIHUACAN,1
15,MEXICO,093,TEPETLAOXTOC,1
15,MEXICO,094,TEPETLIXPA,1
15,MEXICO,095,TEPOTZOTLAN,1
15,MEXICO,096,TEQUIXQUIAC,1
15,MEXICO,097,TEXCALTITLAN,1
15,MEXICO,098,TEXCALYACAC,1

15,MEXICO,099,TEXCOCO,1
15,MEXICO,100,TEZOYUCA,1
15,MEXICO,101,TIANGUISTENCO,1
15,MEXICO,102,TIMILPAN,1
15,MEXICO,103,TLALMANALCO,1
15,MEXICO,104,TLALNEPANTLA DE BAZ,1
15,MEXICO,105,TLATLAYA,1
15,MEXICO,106,TOLUCA,1
15,MEXICO,108,TULTEPEC,1
15,MEXICO,109,TULTITLAN,1
15,MEXICO,110,VALLE DE BRAVO,1
15,MEXICO,111,VILLA DE ALLENDE,1
15,MEXICO,112,VILLA DEL CARBON,1
15,MEXICO,113,VILLA GUERRERO,1
15,MEXICO,114,VILLA VICTORIA,1
15,MEXICO,115,XONACATLAN,1
15,MEXICO,117,ZACUALPAN,1
15,MEXICO,118,ZINACANTEPEC,1
15,MEXICO,119,ZUMPAHUACAN,1
15,MEXICO,120,ZUMPANGO,1
15,MEXICO,121,CUAUTITLAN IZCALLI,1
15,MEXICO,122,VALLE DE CHALCO SOLIDARIDAD,1
15,MEXICO,123,LUVIANOS,1
15,MEXICO,124,SAN JOSE DEL RINCON,1
15,MEXICO,125,TONANITLA,1
16,MICHOACAN DE OCAMPO,001,ACUITZIO,1
16,MICHOACAN DE OCAMPO,003,ALVARO OBREGON,1
16,MICHOACAN DE OCAMPO,004,ANGAMACUTIRO,1
16,MICHOACAN DE OCAMPO,005,ANGANGUEO,1
16,MICHOACAN DE OCAMPO,006,APATZINGAN,1
16,MICHOACAN DE OCAMPO,008,AQUILA,1
16,MICHOACAN DE OCAMPO,009,ARIO,1
16,MICHOACAN DE OCAMPO,010,ARTEAGA,1
16,MICHOACAN DE OCAMPO,011,BRISEÑAS,1
16,MICHOACAN DE OCAMPO,012,BUENAVISTA,1
16,MICHOACAN DE OCAMPO,013,CARACUARO,1
16,MICHOACAN DE OCAMPO,015,COALCOMAN DE VAZQUEZ PALLARES,1
16,MICHOACAN DE OCAMPO,016,COENEO,1
16,MICHOACAN DE OCAMPO,018,COPANDARO,1
16,MICHOACAN DE OCAMPO,019,COTIJA,1
16,MICHOACAN DE OCAMPO,020,CUITZEO,1
16,MICHOACAN DE OCAMPO,021,CHARAPAN,1
16,MICHOACAN DE OCAMPO,023,CHAVINDA,1
16,MICHOACAN DE OCAMPO,024,CHERAN,1
16,MICHOACAN DE OCAMPO,025,CHILCHOTA,1
16,MICHOACAN DE OCAMPO,027,CHUCANDIRO,1
16,MICHOACAN DE OCAMPO,028,CHURINTZIO,1
16,MICHOACAN DE OCAMPO,029,CHURUMUCO,1
16,MICHOACAN DE OCAMPO,032,ERONGARICUARO,1
16,MICHOACAN DE OCAMPO,033,GABRIEL ZAMORA,1
16,MICHOACAN DE OCAMPO,034,HIDALGO,1
16,MICHOACAN DE OCAMPO,035,LA HUACANA,1
16,MICHOACAN DE OCAMPO,036,HUANDACAREO,1
16,MICHOACAN DE OCAMPO,037,HUANIQUEO,1
16,MICHOACAN DE OCAMPO,038,HUETAMO,1
16,MICHOACAN DE OCAMPO,039,HUIRAMBA,1
16,MICHOACAN DE OCAMPO,040,INDAPARAPEO,1
16,MICHOACAN DE OCAMPO,041,IRIMBO,1
16,MICHOACAN DE OCAMPO,042,IXTLAN,1
16,MICHOACAN DE OCAMPO,043,JACONA,1
16,MICHOACAN DE OCAMPO,044,JIMENEZ,1
16,MICHOACAN DE OCAMPO,045,JIQUILPAN,1
16,MICHOACAN DE OCAMPO,046,JUAREZ,1
16,MICHOACAN DE OCAMPO,047,JUNGAPEO,1
16,MICHOACAN DE OCAMPO,048,LAGUNILLAS,1
16,MICHOACAN DE OCAMPO,049,MADERO,1
16,MICHOACAN DE OCAMPO,050,MARAVATIO,1
16,MICHOACAN DE OCAMPO,051,MARCOS CASTELLANOS,1
16,MICHOACAN DE OCAMPO,052,LAZARO CARDENAS,1
16,MICHOACAN DE OCAMPO,053,MORELIA,1
16,MICHOACAN DE OCAMPO,055,MUGICA,1
16,MICHOACAN DE OCAMPO,056,NAHUATZEN,1
16,MICHOACAN DE OCAMPO,058,NUEVO PARANGARICUTIRO,1
16,MICHOACAN DE OCAMPO,059,NUEVO URECHO,1
16,MICHOACAN DE OCAMPO,060,NUMARAN,1
16,MICHOACAN DE OCAMPO,061,OCAMPO,1
16,MICHOACAN DE OCAMPO,062,PAJACUARAN,1
16,MICHOACAN DE OCAMPO,064,PARACUARO,1
16,MICHOACAN DE OCAMPO,065,PARACHO,1
16,MICHOACAN DE OCAMPO,066,PATZCUARO,1
16,MICHOACAN DE OCAMPO,067,PENJAMILLO,1
16,MICHOACAN DE OCAMPO,068,PERIBAN,1
16,MICHOACAN DE OCAMPO,069,LA PIEDAD,1
16,MICHOACAN DE OCAMPO,070,PUREPERO,1
16,MICHOACAN DE OCAMPO,071,PURUANDIRO,1
16,MICHOACAN DE OCAMPO,072,QUERENDARO,1

16,MICHOACAN DE OCAMPO,073,QUIROGA,1
16,MICHOACAN DE OCAMPO,074,COJUMATLAN DE REGULES,1
16,MICHOACAN DE OCAMPO,075,LOS REYES,1
16,MICHOACAN DE OCAMPO,076,SAHUAYO,1
16,MICHOACAN DE OCAMPO,077,SAN LUCAS,1
16,MICHOACAN DE OCAMPO,078,SANTA ANA MAYA,1
16,MICHOACAN DE OCAMPO,079,SALVADOR ESCALANTE,1
16,MICHOACAN DE OCAMPO,080,SENGUIO,1
16,MICHOACAN DE OCAMPO,081,SUSUPUATO,1
16,MICHOACAN DE OCAMPO,082,TACAMBARO,1
16,MICHOACAN DE OCAMPO,083,TANCITARO,1
16,MICHOACAN DE OCAMPO,084,TANGAMANDAPIO,1
16,MICHOACAN DE OCAMPO,085,TANGANCICUARO,1
16,MICHOACAN DE OCAMPO,086,TANHUATO,1
16,MICHOACAN DE OCAMPO,087,TARETAN,1
16,MICHOACAN DE OCAMPO,088,TARIMBARO,1
16,MICHOACAN DE OCAMPO,089,TEPALCATEPEC,1
16,MICHOACAN DE OCAMPO,090,TINGAMBATO,1
16,MICHOACAN DE OCAMPO,091,TINGÑINDIN,1
16,MICHOACAN DE OCAMPO,093,TLALPUJAHUA,1
16,MICHOACAN DE OCAMPO,095,TOCUMBO,1
16,MICHOACAN DE OCAMPO,097,TURICATO,1
16,MICHOACAN DE OCAMPO,098,TUXPAN,1
16,MICHOACAN DE OCAMPO,099,TUZANTLA,1
16,MICHOACAN DE OCAMPO,100,TZINTZUNTZAN,1
16,MICHOACAN DE OCAMPO,102,URUAPAN,1
16,MICHOACAN DE OCAMPO,103,VENUSTIANO CARRANZA,1
16,MICHOACAN DE OCAMPO,104,VILLAMAR,1
16,MICHOACAN DE OCAMPO,105,VISTA HERMOSA,1
16,MICHOACAN DE OCAMPO,106,YURECUARO,1
16,MICHOACAN DE OCAMPO,107,ZACAPU,1
16,MICHOACAN DE OCAMPO,108,ZAMORA,1
16,MICHOACAN DE OCAMPO,109,ZINAPARO,1
16,MICHOACAN DE OCAMPO,110,ZINAPECUARO,1
16,MICHOACAN DE OCAMPO,111,ZIRACUARETIRO,1
16,MICHOACAN DE OCAMPO,112,ZITACUARO,1
16,MICHOACAN DE OCAMPO,113,JOSE SIXTO VERDUZCO,1
17,MORELOS,001,AMACUZAC,1
17,MORELOS,002,ATLATLAHUCAN,1
17,MORELOS,003,AXOCHIAPAN,1
17,MORELOS,004,AYALA,1
17,MORELOS,005,COATLAN DEL RIO,1
17,MORELOS,006,CUAUTLA,1
17,MORELOS,007,CUERNAVACA,1
17,MORELOS,008,EMILIANO ZAPATA,1
17,MORELOS,009,HUITZILAC,1
17,MORELOS,010,JANTETELCO,1
17,MORELOS,011,JIUTEPEC,1
17,MORELOS,012,JOJUTLA,1
17,MORELOS,013,JONACATEPEC DE LEANDRO VALLE,1
17,MORELOS,014,MAZATEPEC,1
17,MORELOS,015,MIACATLAN,1
17,MORELOS,016,OCUITUCO,1
17,MORELOS,017,PUENTE DE IXTLA,1
17,MORELOS,018,TEMIXCO,1
17,MORELOS,019,TEPALCINGO,1
17,MORELOS,020,TEPOZTLAN,1
17,MORELOS,021,TETECALA,1
17,MORELOS,022,TETELA DEL VOLCAN,1
17,MORELOS,023,TLALNEPANTLA,1
17,MORELOS,024,TLALTIZAPAN DE ZAPATA,1
17,MORELOS,025,TLAQUILTENANGO,1
17,MORELOS,026,TLAYACAPAN,1
17,MORELOS,027,TOTOLAPAN,1
17,MORELOS,028,XOCHITEPEC,1
17,MORELOS,029,YAUTEPEC,1
17,MORELOS,030,YECAPIXTLA,1
17,MORELOS,031,ZACATEPEC,1
17,MORELOS,032,ZACUALPAN DE AMILPAS,1
17,MORELOS,033,TEMOAC,1
18,NAYARIT,001,ACAPONETA,1
18,NAYARIT,002,AHUACATLAN,1
18,NAYARIT,003,AMATLAN DE CAÑAS,1
18,NAYARIT,004,COMPOSTELA,1
18,NAYARIT,006,IXTLAN DEL RIO,1
18,NAYARIT,007,JALA,1
18,NAYARIT,008,XALISCO,1
18,NAYARIT,009,DEL NAYAR,1
18,NAYARIT,010,ROSAMORADA,1
18,NAYARIT,011,RUIZ,1
18,NAYARIT,012,SAN BLAS,1
18,NAYARIT,014,SANTA MARIA DEL ORO,1
18,NAYARIT,015,SANTIAGO IXCUINTLA,1
18,NAYARIT,016,TECUALA,1
18,NAYARIT,017,TEPIC,1
18,NAYARIT,018,TUXPAN,1

18,NAYARIT,020,BAHIA DE BANDERAS,1
19,NUEVO LEON,004,ALLENDE,1
19,NUEVO LEON,005,ANAHUAC,1
19,NUEVO LEON,006,APODACA,1
19,NUEVO LEON,007,ARAMBERRI,1
19,NUEVO LEON,008,BUSTAMANTE,1
19,NUEVO LEON,009,CADEREYTA JIMENEZ,1
19,NUEVO LEON,010,EL CARMEN,1
19,NUEVO LEON,011,CERRALVO,1
19,NUEVO LEON,012,CIENEGA DE FLORES,1
19,NUEVO LEON,013,CHINA,1
19,NUEVO LEON,014,DOCTOR ARROYO,1
19,NUEVO LEON,017,GALEANA,1
19,NUEVO LEON,018,GARCIA,1
19,NUEVO LEON,019,SAN PEDRO GARZA GARCIA,1
19,NUEVO LEON,020,GENERAL BRAVO,1
19,NUEVO LEON,021,GENERAL ESCOBEDO,1
19,NUEVO LEON,022,GENERAL TERAN,1
19,NUEVO LEON,024,GENERAL ZARAGOZA,1
19,NUEVO LEON,026,GUADALUPE,1
19,NUEVO LEON,028,HIGUERAS,1
19,NUEVO LEON,029,HUALAHUISES,1
19,NUEVO LEON,031,JUAREZ,1
19,NUEVO LEON,033,LINARES,1
19,NUEVO LEON,036,MIER Y NORIEGA,1
19,NUEVO LEON,037,MINA,1
19,NUEVO LEON,038,MONTEMORELOS,1
19,NUEVO LEON,039,MONTERREY,1
19,NUEVO LEON,041,PESQUERIA,1
19,NUEVO LEON,044,SABINAS HIDALGO,1
19,NUEVO LEON,045,SALINAS VICTORIA,1
19,NUEVO LEON,046,SAN NICOLAS DE LOS GARZA,1
19,NUEVO LEON,047,HIDALGO,1
19,NUEVO LEON,048,SANTA CATARINA,1
19,NUEVO LEON,049,SANTIAGO,1
19,NUEVO LEON,051,VILLALDAMA,1
20,OAXACA,001,ABEJONES,1
20,OAXACA,002,ACATLAN DE PEREZ FIGUEROA,1
20,OAXACA,005,ASUNCION IXTALTEPEC,1
20,OAXACA,006,ASUNCION NOCHIXTLAN,1
20,OAXACA,009,AYOTZINTEPEC,1
20,OAXACA,012,CANDELARIA LOXICHA,1
20,OAXACA,013,CIENEGA DE ZIMATLAN,1
20,OAXACA,014,CIUDAD IXTEPEC,1
20,OAXACA,016,COICOYAN DE LAS FLORES,1
20,OAXACA,017,LA COMPAÑIA,1
20,OAXACA,020,CONSTANCIA DEL ROSARIO,1
20,OAXACA,021,COSOLAPA,1
20,OAXACA,023,CUILAPAM DE GUERRERO,1
20,OAXACA,024,CUYAMECALCO VILLA DE ZARAGOZA,1
20,OAXACA,025,CHAHUITES,1
20,OAXACA,026,CHALCATONGO DE HIDALGO,1
20,OAXACA,027,CHIQUIHUITLAN DE BENITO JUAREZ,1
20,OAXACA,028,HEROICA CIUDAD DE EJUTLA DE CRESPO,1
20,OAXACA,030,EL ESPINAL,1
20,OAXACA,039,HEROICA CIUDAD DE HUAJUAPAN DE LEON,1
20,OAXACA,041,HUAUTLA DE JIMENEZ,1
20,OAXACA,043,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,1
20,OAXACA,044,LOMA BONITA,1
20,OAXACA,045,MAGDALENA APASCO,1
20,OAXACA,046,MAGDALENA JALTEPEC,1
20,OAXACA,052,MAGDALENA TEQUISISTLAN,1
20,OAXACA,053,MAGDALENA TLACOTEPEC,1
20,OAXACA,057,MATIAS ROMERO AVENDAÑO,1
20,OAXACA,058,MAZATLAN VILLA DE FLORES,1
20,OAXACA,059,MIAHUATLAN DE PORFIRIO DIAZ,1
20,OAXACA,061,MONJAS,1
20,OAXACA,063,NAZARENO ETLA,1
20,OAXACA,064,NEJAPA DE MADERO,1
20,OAXACA,066,SANTIAGO NILTEPEC,1
20,OAXACA,067,OAXACA DE JUAREZ,1
20,OAXACA,068,OCOTLAN DE MORELOS,1
20,OAXACA,070,PINOTEPA DE DON LUIS,1
20,OAXACA,071,PLUMA HIDALGO,1
20,OAXACA,072,SAN JOSE DEL PROGRESO,1
20,OAXACA,073,PUTLA VILLA DE GUERRERO,1
20,OAXACA,075,REFORMA DE PINEDA,1
20,OAXACA,077,REYES ETLA,1
20,OAXACA,079,SALINA CRUZ,1
20,OAXACA,082,SAN AGUSTIN CHAYUCO,1
20,OAXACA,083,SAN AGUSTIN DE LAS JUNTAS,1
20,OAXACA,084,SAN AGUSTIN ETLA,1
20,OAXACA,085,SAN AGUSTIN LOXICHA,1
20,OAXACA,087,SAN AGUSTIN YATARENI,1
20,OAXACA,089,SAN ANDRES DINICUITI,1
20,OAXACA,090,SAN ANDRES HUAXPALTEPEC,1

20,OAXACA,091,SAN ANDRES HUAYAPAM,1
20,OAXACA,095,SAN ANDRES PAXTLAN,1
20,OAXACA,096,SAN ANDRES SINAXTLA,1
20,OAXACA,102,SAN ANDRES ZAUTLA,1
20,OAXACA,103,SAN ANTONINO CASTILLO VELASCO,1
20,OAXACA,107,SAN ANTONIO DE LA CAL,1
20,OAXACA,111,SAN ANTONIO TEPETLAPA,1
20,OAXACA,112,SAN BALTAZAR CHICHICAPAM,1
20,OAXACA,115,SAN BARTOLO COYOTEPEC,1
20,OAXACA,124,SAN BLAS ATEMPA,1
20,OAXACA,125,SAN CARLOS YAUTEPEC,1
20,OAXACA,126,SAN CRISTOBAL AMATLAN,1
20,OAXACA,130,SAN DIONISIO DEL MAR,1
20,OAXACA,132,SAN DIONISIO OCOTLAN,1
20,OAXACA,135,SAN FELIPE TEJALAPAM,1
20,OAXACA,141,SAN FRANCISCO DEL MAR,1
20,OAXACA,142,SAN FRANCISCO HUEHUETLAN,1
20,OAXACA,143,SAN FRANCISCO IXHUATAN,1
20,OAXACA,145,SAN FRANCISCO LACHIGOLO,1
20,OAXACA,150,SAN FRANCISCO TELIXTLAHUACA,1
20,OAXACA,153,SAN GABRIEL MIXTEPEC,1
20,OAXACA,154,SAN ILDEFONSO AMATLAN,1
20,OAXACA,157,SAN JACINTO AMILPAS,1
20,OAXACA,162,SAN JERONIMO TAVICHE,1
20,OAXACA,163,SAN JERONIMO TECOATL,1
20,OAXACA,165,SAN JOSE AYUQUILA,1
20,OAXACA,166,SAN JOSE CHILTEPEC,1
20,OAXACA,167,SAN JOSE DEL PEÑASCO,1
20,OAXACA,176,SAN JUAN BAUTISTA COIXTLAHUACA,1
20,OAXACA,177,SAN JUAN BAUTISTA CUICATLAN,1
20,OAXACA,178,SAN JUAN BAUTISTA GUELACHE,1
20,OAXACA,179,SAN JUAN BAUTISTA JAYACATLAN,1
20,OAXACA,181,SAN JUAN BAUTISTA SUCHITEPEC,1
20,OAXACA,184,SAN JUAN BAUTISTA TUXTEPEC,1
20,OAXACA,185,SAN JUAN CACAHUATEPEC,1
20,OAXACA,188,SAN JUAN COLORADO,1
20,OAXACA,190,SAN JUAN COTZOCON,1
20,OAXACA,192,SAN JUAN CHILATECA,1
20,OAXACA,193,SAN JUAN DEL ESTADO,1
20,OAXACA,198,SAN JUAN GUICHICOVI,1
20,OAXACA,202,SAN JUAN LACHAO,1
20,OAXACA,204,SAN JUAN LAJARCIA,1
20,OAXACA,205,SAN JUAN LALANA,1
20,OAXACA,206,SAN JUAN DE LOS CUES,1
20,OAXACA,207,SAN JUAN MAZATLAN,1
20,OAXACA,210,SAN JUAN ÑUMI,1
20,OAXACA,214,SAN JUAN QUIOTEPEC,1
20,OAXACA,224,SAN JUAN YUCUITA,1
20,OAXACA,225,SAN LORENZO,1
20,OAXACA,227,SAN LORENZO CACAOTEPEC,1
20,OAXACA,232,SAN LUCAS OJITLAN,1
20,OAXACA,233,SAN LUCAS QUIAVINI,1
20,OAXACA,234,SAN LUCAS ZOQUIAPAM,1
20,OAXACA,235,SAN LUIS AMATLAN,1
20,OAXACA,237,SAN MARCOS ARTEAGA,1
20,OAXACA,242,SAN MARTIN PERAS,1
20,OAXACA,243,SAN MARTIN TILCAJETE,1
20,OAXACA,244,SAN MARTIN TOXPALAN,1
20,OAXACA,248,SAN MATEO DEL MAR,1
20,OAXACA,252,SAN MATEO PEÑASCO,1
20,OAXACA,254,SAN MATEO RIO HONDO,1
20,OAXACA,265,SAN MIGUEL CHIMALAPA,1
20,OAXACA,266,SAN MIGUEL DEL PUERTO,1
20,OAXACA,268,SAN MIGUEL EJUTLA,1
20,OAXACA,272,SAN MIGUEL PANIXTLAHUACA,1
20,OAXACA,277,VILLA SOLA DE VEGA,1
20,OAXACA,278,SAN MIGUEL SOYALTEPEC,1
20,OAXACA,279,SAN MIGUEL SUCHIXTEPEC,1
20,OAXACA,284,SAN MIGUEL TILQUIAPAM,1
20,OAXACA,285,SAN MIGUEL TLACAMAMA,1
20,OAXACA,293,SAN PABLO ETLA,1
20,OAXACA,294,SAN PABLO HUITZO,1
20,OAXACA,295,SAN PABLO HUIXTEPEC,1
20,OAXACA,298,SAN PABLO VILLA DE MITLA,1
20,OAXACA,300,SAN PEDRO AMUZGOS,1
20,OAXACA,301,SAN PEDRO APOSTOL,1
20,OAXACA,302,SAN PEDRO ATOYAC,1
20,OAXACA,306,SAN PEDRO EL ALTO,1
20,OAXACA,307,SAN PEDRO HUAMELULA,1
20,OAXACA,308,SAN PEDRO HUILOTEPEC,1
20,OAXACA,309,SAN PEDRO IXCATLAN,1
20,OAXACA,310,SAN PEDRO IXTLAHUACA,1
20,OAXACA,312,SAN PEDRO JICAYAN,1
20,OAXACA,315,SAN PEDRO MARTIR,1
20,OAXACA,318,SAN PEDRO MIXTEPEC,1
20,OAXACA,324,SAN PEDRO POCHUTLA,1

20,OAXACA,327,SAN PEDRO TAPANATEPEC,1
20,OAXACA,334,VILLA DE TUTUTEPEC,1
20,OAXACA,338,VILLA DE ETLA,1
20,OAXACA,339,SAN PEDRO Y SAN PABLO TEPOSCOLULA,1
20,OAXACA,340,SAN PEDRO Y SAN PABLO TEQUIXTEPEC,1
20,OAXACA,343,SAN SEBASTIAN ABASOLO,1
20,OAXACA,345,SAN SEBASTIAN IXCAPA,1
20,OAXACA,347,SAN SEBASTIAN RIO HONDO,1
20,OAXACA,348,SAN SEBASTIAN TECOMAXTLAHUACA,1
20,OAXACA,350,SAN SEBASTIAN TUTLA,1
20,OAXACA,357,SANTA ANA TAVELA,1
20,OAXACA,360,SANTA ANA ZEGACHE,1
20,OAXACA,362,SANTA CATARINA CUIXTLA,1
20,OAXACA,364,SANTA CATARINA JUQUILA,1
20,OAXACA,366,SANTA CATARINA LOXICHA,1
20,OAXACA,367,SANTA CATARINA MECHOACAN,1
20,OAXACA,368,SANTA CATARINA MINAS,1
20,OAXACA,371,SANTA CATARINA TICUA,1
20,OAXACA,375,SANTA CRUZ AMILPAS,1
20,OAXACA,377,SANTA CRUZ ITUNDUJIA,1
20,OAXACA,381,SANTA CRUZ TACACHE DE MINA,1
20,OAXACA,384,SANTA CRUZ XITLA,1
20,OAXACA,385,SANTA CRUZ XOXOCOTLAN,1
20,OAXACA,387,SANTA GERTRUDIS,1
20,OAXACA,390,SANTA LUCIA DEL CAMINO,1
20,OAXACA,391,SANTA LUCIA MIAHUATLAN,1
20,OAXACA,393,SANTA LUCIA OCOTLAN,1
20,OAXACA,397,HEROICA CIUDAD DE TLAXIACO,1
20,OAXACA,398,AYOQUEZCO DE ALDAMA,1
20,OAXACA,399,SANTA MARIA ATZOMPA,1
20,OAXACA,401,SANTA MARIA COLOTEPEC,1
20,OAXACA,403,SANTA MARIA COYOTEPEC,1
20,OAXACA,406,SANTA MARIA CHILCHOTLA,1
20,OAXACA,409,SANTA MARIA DEL TULE,1
20,OAXACA,413,SANTA MARIA HUATULCO,1
20,OAXACA,414,SANTA MARIA HUAZOLOTITLAN,1
20,OAXACA,415,SANTA MARIA IPALAPA,1
20,OAXACA,417,SANTA MARIA JACATEPEC,1
20,OAXACA,418,SANTA MARIA JALAPA DEL MARQUES,1
20,OAXACA,421,SANTA MARIA MIXTEQUILLA,1
20,OAXACA,427,SANTA MARIA PETAPA,1
20,OAXACA,429,SANTA MARIA SOLA,1
20,OAXACA,431,SANTA MARIA TECOMAVACA,1
20,OAXACA,438,SANTA MARIA TLALIXTAC,1
20,OAXACA,439,SANTA MARIA TONAMECA,1
20,OAXACA,441,SANTA MARIA XADANI,1
20,OAXACA,447,SANTA MARIA ZACATEPEC,1
20,OAXACA,450,SANTIAGO AMOLTEPEC,1
20,OAXACA,452,SANTIAGO APOSTOL,1
20,OAXACA,453,SANTIAGO ASTATA,1
20,OAXACA,455,SANTIAGO AYUQUILILLA,1
20,OAXACA,459,SANTIAGO CHAZUMBA,1
20,OAXACA,466,SANTIAGO IXTAYUTLA,1
20,OAXACA,467,SANTIAGO JAMILTEPEC,1
20,OAXACA,468,SANTIAGO JOCOTEPEC,1
20,OAXACA,469,SANTIAGO JUXTLAHUACA,1
20,OAXACA,472,SANTIAGO LAOLLAGA,1
20,OAXACA,475,SANTIAGO MATATLAN,1
20,OAXACA,476,SANTIAGO MILTEPEC,1
20,OAXACA,478,SANTIAGO NACALTEPEC,1
20,OAXACA,482,SANTIAGO PINOTEPA NACIONAL,1
20,OAXACA,483,SANTIAGO SUCHILQUITONGO,1
20,OAXACA,485,SANTIAGO TAPEXTLA,1
20,OAXACA,486,VILLA TEJUPAM DE LA UNION,1
20,OAXACA,488,SANTIAGO TEPETLAPA,1
20,OAXACA,489,SANTIAGO TETEPEC,1
20,OAXACA,492,SANTIAGO TILANTONGO,1
20,OAXACA,497,SANTIAGO YAITEPEC,1
20,OAXACA,498,SANTIAGO YAVEO,1
20,OAXACA,499,SANTIAGO YOLOMECATL,1
20,OAXACA,505,SANTO DOMINGO INGENIO,1
20,OAXACA,507,SANTO DOMINGO ARMENTA,1
20,OAXACA,508,SANTO DOMINGO CHIHUITAN,1
20,OAXACA,509,SANTO DOMINGO DE MORELOS,1
20,OAXACA,513,SANTO DOMINGO PETAPA,1
20,OAXACA,515,SANTO DOMINGO TEHUANTEPEC,1
20,OAXACA,519,SANTO DOMINGO TOMALTEPEC,1
20,OAXACA,520,SANTO DOMINGO TONALA,1
20,OAXACA,525,SANTO DOMINGO ZANATEPEC,1
20,OAXACA,526,SANTOS REYES NOPALA,1
20,OAXACA,527,SANTOS REYES PAPALO,1
20,OAXACA,530,SANTO TOMAS JALIEZA,1
20,OAXACA,531,SANTO TOMAS MAZALTEPEC,1
20,OAXACA,533,SANTO TOMAS TAMAZULAPAN,1
20,OAXACA,539,SOLEDAD ETLA,1
20,OAXACA,540,VILLA DE TAMAZULAPAM DEL PROGRESO,1

20,OAXACA,542,TANICHE,1
20,OAXACA,544,TEOCOCUILCO DE MARCOS PEREZ,1
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,1
20,OAXACA,546,TEOTITLAN DEL VALLE,1
20,OAXACA,549,"HEROICA VILLA TEZOATLAN DE SEGURA Y LUNA, CUNA DE LA INDEPENDENCIA DE OAXACA",1
20,OAXACA,550,SAN JERONIMO TLACOCHAHUAYA,1
20,OAXACA,551,TLACOLULA DE MATAMOROS,1
20,OAXACA,553,TLALIXTAC DE CABRERA,1
20,OAXACA,557,UNION HIDALGO,1
20,OAXACA,558,VALERIO TRUJANO,1
20,OAXACA,559,SAN JUAN BAUTISTA VALLE NACIONAL,1
20,OAXACA,560,VILLA DIAZ ORDAZ,1
20,OAXACA,561,YAXE,1
20,OAXACA,565,VILLA DE ZAACHILA,1
20,OAXACA,570,ZIMATLAN DE ALVAREZ,1
21,PUEBLA,001,ACAJETE,1
21,PUEBLA,002,ACATENO,1
21,PUEBLA,003,ACATLAN,1
21,PUEBLA,004,ACATZINGO,1
21,PUEBLA,005,ACTEOPAN,1
21,PUEBLA,006,AHUACATLAN,1
21,PUEBLA,007,AHUATLAN,1
21,PUEBLA,008,AHUAZOTEPEC,1
21,PUEBLA,010,AJALPAN,1
21,PUEBLA,012,ALJOJUCA,1
21,PUEBLA,013,ALTEPEXI,1
21,PUEBLA,014,AMIXTLAN,1
21,PUEBLA,015,AMOZOC,1
21,PUEBLA,016,AQUIXTLA,1
21,PUEBLA,017,ATEMPAN,1
21,PUEBLA,019,ATLIXCO,1
21,PUEBLA,020,ATOYATEMPAN,1
21,PUEBLA,021,ATZALA,1
21,PUEBLA,022,ATZITZIHUACAN,1
21,PUEBLA,023,ATZITZINTLA,1
21,PUEBLA,024,AXUTLA,1
21,PUEBLA,025,AYOTOXCO DE GUERRERO,1
21,PUEBLA,026,CALPAN,1
21,PUEBLA,027,CALTEPEC,1
21,PUEBLA,028,CAMOCUAUTLA,1
21,PUEBLA,029,CAXHUACAN,1
21,PUEBLA,030,COATEPEC,1
21,PUEBLA,031,COATZINGO,1
21,PUEBLA,033,COHUECAN,1
21,PUEBLA,034,CORONANGO,1
21,PUEBLA,035,COXCATLAN,1
21,PUEBLA,036,COYOMEAPAN,1
21,PUEBLA,038,CUAPIAXTLA DE MADERO,1
